id,customer_id,discount_percent,valid_until,entries_left
98,21418,20,2026-08-15,5
99,60590,40,2028-07-29,5
100,49736,100,2027-07-03,20
101,35383,40,2027-06-07,20
102,83887,30,2026-10-02,20
103,90199,80,2028-08-20,10
104,73001,20,2026-05-12,20
105,28786,20,2026-06-27,5
106,89734,100,2027-07-13,20
107,42505,30,2028-04-03,20
108,7332,100,2026-09-29,5
109,30022,80,2027-12-01,20
110,4208,20,2027-09-07,30
111,41348,30,2026-01-23,5
112,52582,20,2028-12-27,30
113,35094,80,2027-09-04,5
114,8676,40,2027-05-07,30
115,27654,80,2026-12-06,10
116,74342,30,2028-11-04,20
117,94099,40,2028-05-29,10
118,41246,20,2027-07-26,10
119,27870,40,2027-08-12,5
120,85910,20,2028-10-05,10
121,65436,30,2028-08-07,30
122,51857,20,2026-03-25,10
123,84260,80,2028-08-23,30
124,60143,30,2026-07-01,5
125,18727,20,2026-12-15,20
126,34719,30,2028-07-20,20
127,18302,100,2027-03-26,10
128,32326,40,2027-10-05,5
129,97648,40,2026-05-20,20
130,73580,100,2027-07-16,5
131,70645,20,2028-10-10,20
132,34439,80,2028-08-26,10
133,97913,30,2028-07-27,5
134,76623,20,2028-12-10,10
135,56156,20,2026-04-07,30
136,76485,80,2026-03-07,20
137,52351,100,2028-01-15,20
138,47448,100,2028-08-06,5
139,28747,40,2026-10-23,20
140,18132,30,2028-06-16,30
141,66785,80,2028-04-12,30
142,64687,30,2026-09-26,20
143,11916,40,2028-03-14,30
144,99062,20,2028-09-22,5
145,6176,30,2028-08-19,10
146,14372,80,2026-09-18,10
147,20034,100,2026-02-28,20
148,82241,80,2026-08-28,10
149,20970,20,2028-04-05,30
150,89193,30,2028-02-27,30
151,55334,100,2027-01-07,30
152,78173,30,2027-06-27,10
153,8327,100,2026-05-01,20
154,50433,30,2028-03-24,20
155,50020,40,2027-08-19,30
156,78105,20,2028-04-05,20
157,61349,100,2027-05-05,10
158,69353,20,2026-06-07,10
159,32954,30,2026-03-06,20
160,72513,40,2026-09-17,5
161,1505,80,2027-10-29,10
162,89167,40,2028-12-25,20
163,94467,80,2027-05-31,20
164,15015,20,2027-08-04,20
165,89354,80,2026-12-11,20
166,70382,20,2027-09-26,20
167,98420,20,2028-04-08,10
168,34974,20,2028-05-19,30
169,84013,40,2026-07-15,30
170,44588,20,2026-04-19,5
171,14622,30,2027-03-25,30
172,38470,100,2026-02-02,20
173,56986,80,2027-06-29,10
174,20731,20,2026-09-29,5
175,59471,80,2028-03-19,5
176,426,40,2028-10-22,5
177,94647,100,2027-10-30,30
178,94330,100,2026-01-14,10
179,34523,100,2026-07-18,30
180,65613,20,2028-10-22,5
181,23417,80,2026-10-16,20
182,66543,30,2026-05-08,30
183,13948,40,2027-04-27,5
184,81960,100,2028-06-29,30
185,39118,30,2026-11-07,30
186,83749,100,2028-05-17,30
187,66541,80,2027-04-08,20
188,79819,100,2027-10-08,30
189,26072,20,2026-07-02,20
190,20033,20,2026-04-02,20
191,49010,100,2027-10-23,20
192,21175,100,2026-05-19,20
193,70698,80,2027-12-19,5
194,69515,80,2028-10-13,10
195,75,20,2026-10-20,30
196,78505,20,2027-10-18,10
197,42488,80,2026-07-09,30
198,64043,20,2028-11-17,30
199,2553,80,2026-05-04,30
200,14663,100,2027-05-08,30
201,47577,30,2026-02-25,5
202,40307,80,2027-06-07,20
203,31386,40,2028-08-05,5
204,7593,30,2027-03-25,10
205,31572,40,2026-07-07,30
206,74365,30,2027-06-04,5
207,10323,30,2026-02-07,5
208,11227,40,2027-05-11,30
209,95933,30,2028-02-01,30
210,63700,100,2026-08-24,20
211,9072,30,2027-05-06,5
212,99694,40,2026-06-14,30
213,69823,80,2026-12-05,20
214,16484,20,2027-07-29,30
215,16829,80,2026-07-09,5
216,86475,20,2026-03-13,30
217,62297,20,2027-12-13,5
218,72064,80,2026-07-07,10
219,21644,30,2028-06-01,20
220,34742,30,2028-05-26,30
221,69164,20,2027-09-05,20
222,79508,20,2026-06-07,5
223,55462,100,2028-09-09,20
224,27761,20,2027-04-11,30
225,70687,40,2027-02-20,30
226,98995,20,2026-12-29,20
227,95674,20,2027-08-07,10
228,90423,80,2026-07-19,5
229,26366,30,2027-10-01,5
230,93448,40,2026-11-24,5
231,40858,30,2026-06-15,10
232,52297,30,2028-07-20,10
233,88040,20,2026-04-03,30
234,85181,20,2027-04-27,10
235,48945,100,2028-06-28,20
236,57423,80,2027-04-11,30
237,67840,80,2028-01-23,30
238,59178,40,2026-07-30,5
239,15861,100,2027-09-23,20
240,32494,30,2026-03-06,30
241,29452,30,2027-11-23,20
242,8393,20,2027-01-31,30
243,44314,80,2027-06-21,20
244,2758,20,2027-01-31,10
245,77111,20,2028-11-15,20
246,72604,40,2028-01-10,10
247,30162,30,2028-02-06,20
248,77129,40,2027-06-08,10
249,28865,30,2028-11-09,20
250,943,20,2027-06-15,5
251,9306,30,2028-03-13,10
252,92779,30,2027-12-21,20
253,82720,100,2028-06-02,5
254,7717,30,2027-03-09,10
255,30008,30,2026-01-23,20
256,8835,80,2026-07-23,10
257,4118,20,2026-06-09,5
258,43310,30,2028-10-05,10
259,9288,30,2028-05-11,30
260,67392,100,2026-04-21,10
261,31196,20,2027-03-09,20
262,36501,30,2026-11-07,5
263,87685,20,2026-06-06,5
264,63625,100,2026-03-03,10
265,28081,20,2028-11-05,30
266,70679,100,2027-03-13,10
267,17343,30,2026-04-06,5
268,94812,30,2028-11-23,5
269,74848,100,2028-05-15,5
270,75526,30,2026-02-06,10
271,61954,100,2028-04-13,5
272,31851,100,2026-09-02,20
273,61994,30,2027-02-22,20
274,53355,100,2028-05-13,10
275,24958,100,2027-05-24,20
276,12364,100,2026-01-18,20
277,12705,100,2028-12-10,30
278,86375,80,2028-06-11,5
279,56499,80,2028-04-15,30
280,46439,100,2026-04-16,10
281,55520,40,2027-08-05,30
282,53884,40,2027-07-14,10
283,61214,30,2027-12-07,30
284,95562,40,2028-11-19,20
285,7101,20,2027-01-16,30
286,88260,20,2026-10-25,5
287,85650,80,2028-02-03,20
288,84697,30,2026-11-10,20
289,12900,100,2026-03-17,5
290,7945,40,2028-08-07,30
291,52773,100,2027-03-01,30
292,95449,30,2026-08-09,20
293,44474,100,2028-03-13,20
294,14323,100,2028-02-08,30
295,32592,100,2026-08-07,20
296,25113,20,2027-05-20,20
297,24932,100,2027-06-01,20
298,70293,40,2027-10-27,10
299,58801,80,2028-07-20,10
300,18374,30,2028-05-03,10
301,55297,30,2027-06-18,20
302,24051,80,2026-04-30,5
303,36510,20,2028-08-28,20
304,60638,100,2028-02-13,30
305,32743,20,2027-08-20,20
306,9881,80,2028-03-07,20
307,58083,100,2027-07-04,5
308,72133,100,2027-12-19,30
309,12834,20,2026-04-11,30
310,6631,20,2028-02-26,5
311,85478,20,2027-06-10,5
312,70856,30,2026-12-08,10
313,1935,40,2028-05-05,5
314,12225,80,2027-12-20,20
315,98772,40,2026-12-22,10
316,30983,100,2028-01-12,5
317,21799,100,2027-09-09,20
318,53270,30,2028-06-09,5
319,63654,40,2028-12-29,20
320,63093,100,2028-03-19,5
321,28017,100,2026-08-12,30
322,52566,40,2027-10-24,30
323,7686,40,2028-06-22,30
324,21580,100,2026-09-24,30
325,49673,30,2028-06-07,5
326,283,20,2028-11-04,30
327,51174,30,2026-04-07,10
328,34761,80,2027-12-29,5
329,59639,80,2028-08-17,20
330,37389,80,2028-06-15,20
331,55445,30,2027-02-04,20
332,91304,20,2028-07-23,5
333,95749,40,2027-11-24,20
334,72846,20,2026-08-14,10
335,86753,30,2027-02-03,20
336,94164,30,2026-07-02,30
337,63789,30,2028-09-24,20
338,20290,100,2028-05-15,10
339,24891,20,2028-10-23,20
340,38891,30,2027-06-12,5
341,28535,30,2028-03-12,5
342,7666,20,2026-09-08,20
343,75915,100,2027-10-18,10
344,96435,80,2027-03-02,10
345,71067,30,2026-06-21,5
346,7990,80,2028-12-01,20
347,98039,80,2028-08-28,20
348,41105,80,2026-10-16,5
349,7493,40,2027-08-18,10
350,6573,20,2026-06-29,5
351,76570,100,2028-05-09,30
352,62494,100,2026-12-21,30
353,65910,30,2028-03-28,10
354,69616,40,2026-04-05,5
355,20636,100,2026-07-08,20
356,7456,100,2028-06-16,30
357,66563,40,2026-08-10,5
358,10501,100,2026-09-16,30
359,24357,20,2027-12-30,5
360,8982,30,2026-08-14,20
361,77993,100,2026-12-14,10
362,8908,80,2028-04-29,10
363,88502,40,2027-03-06,20
364,30829,80,2027-04-23,20
365,52924,80,2026-08-02,30
366,15714,100,2027-02-08,20
367,74669,40,2028-08-25,10
368,32272,80,2027-08-08,20
369,75881,80,2026-08-16,20
370,77925,80,2027-01-14,30
371,5210,40,2028-07-21,10
372,81184,20,2026-02-22,30
373,10746,20,2026-09-20,10
374,54949,30,2028-05-18,30
375,86164,100,2026-07-31,10
376,76504,20,2027-11-11,20
377,74086,40,2026-11-24,10
378,68523,80,2027-05-18,30
379,41468,80,2026-02-11,20
380,34180,20,2027-05-28,20
381,26773,100,2028-12-28,30
382,87783,20,2027-03-20,30
383,93873,40,2027-02-03,10
384,41181,30,2028-01-24,5
385,31286,80,2027-05-12,10
386,34815,100,2028-07-26,30
387,51877,40,2027-11-26,20
388,17155,100,2027-08-09,5
389,99768,20,2027-08-03,10
390,84608,20,2026-01-08,30
391,39322,100,2028-11-30,20
392,59930,80,2028-04-14,5
393,41442,20,2028-04-11,30
394,98549,80,2028-06-24,10
395,9509,100,2027-01-19,30
396,1221,100,2027-02-03,30
397,60069,20,2028-10-08,5
398,81417,100,2028-09-24,10
399,73793,20,2028-10-20,10
400,13105,30,2028-12-01,5
401,9603,20,2026-08-10,10
402,70469,80,2026-09-24,20
403,27939,20,2028-11-04,10
404,66308,20,2027-11-16,10
405,99673,80,2027-06-19,30
406,17362,80,2027-08-09,20
407,45746,40,2028-04-22,10
408,9017,30,2026-10-24,20
409,32019,20,2028-01-19,20
410,48435,80,2028-08-12,20
411,37354,100,2026-01-24,20
412,20677,100,2027-11-10,20
413,57434,80,2027-08-11,10
414,71201,20,2026-02-28,10
415,92215,100,2026-11-02,10
416,39652,40,2027-03-29,30
417,80174,20,2027-08-30,10
418,85718,40,2027-01-30,5
419,69330,20,2027-05-19,30
420,1026,30,2027-07-13,10
421,87539,100,2027-08-30,5
422,72693,100,2028-04-05,30
423,39241,40,2028-10-03,10
424,86952,100,2027-11-21,10
425,13578,80,2027-10-07,5
426,17602,30,2026-11-06,5
427,34665,80,2026-10-08,5
428,15130,40,2026-04-08,20
429,14030,80,2026-01-12,10
430,97311,30,2026-11-04,20
431,99841,80,2026-03-14,10
432,20375,30,2026-06-22,10
433,35698,30,2028-08-08,5
434,36931,20,2028-03-06,20
435,79277,20,2028-04-17,20
436,27608,30,2027-04-18,20
437,94059,40,2028-01-21,5
438,44943,80,2027-01-22,10
439,26686,20,2026-03-19,10
440,90112,30,2027-09-06,20
441,83131,100,2026-09-06,10
442,34601,20,2028-02-25,5
443,66245,20,2028-11-14,20
444,64033,40,2028-09-22,5
445,32915,40,2026-09-06,10
446,6659,80,2027-06-06,5
447,12098,80,2027-07-16,5
448,83137,40,2026-08-12,5
449,55519,100,2026-10-07,10
450,36266,30,2027-08-12,5
451,5779,30,2026-12-05,20
452,465,20,2026-06-09,5
453,43720,30,2027-05-17,10
454,17147,30,2026-11-20,5
455,83508,30,2026-10-06,20
456,34336,100,2026-09-04,20
457,21179,30,2028-10-10,10
458,97155,40,2026-03-16,10
459,57913,30,2026-07-24,20
460,72310,100,2026-06-23,30
461,92494,20,2026-04-18,5
462,56058,100,2027-11-27,10
463,73520,30,2026-07-08,5
464,1268,40,2028-09-08,20
465,14664,30,2026-07-01,20
466,9863,30,2027-10-25,5
467,90574,100,2027-09-16,5
468,19537,100,2028-08-17,5
469,71512,80,2028-04-12,10
470,4723,20,2026-08-06,5
471,48394,20,2027-12-14,20
472,76351,30,2026-08-22,30
473,72421,80,2026-04-17,5
474,19411,40,2026-08-13,5
475,56334,40,2028-12-04,10
476,16705,20,2028-04-12,20
477,5483,40,2028-02-19,10
478,40405,20,2026-02-22,10
479,47796,30,2028-10-10,10
480,5230,80,2028-01-24,10
481,46899,100,2027-02-23,30
482,27536,30,2028-02-04,10
483,89400,20,2027-10-08,30
484,32707,40,2028-04-23,30
485,87417,100,2026-07-13,30
486,13474,80,2026-05-27,10
487,46358,80,2027-09-29,20
488,73386,20,2026-07-18,10
489,53265,20,2027-12-15,30
490,81352,30,2027-10-20,10
491,98236,30,2026-12-05,20
492,20258,100,2028-07-20,5
493,31030,80,2027-02-09,5
494,21300,80,2028-05-21,30
495,23207,100,2028-06-13,5
496,54041,100,2027-01-10,5
497,3249,30,2026-10-16,20
498,23510,40,2026-04-03,20
499,96543,20,2026-10-17,30
500,43541,20,2028-05-27,30
501,53965,100,2027-06-08,20
502,87807,20,2026-07-25,20
503,96346,80,2026-09-24,10
504,32528,40,2027-06-21,5
505,34971,100,2026-02-06,30
506,20867,20,2027-08-18,20
507,91918,100,2027-01-16,30
508,14169,100,2026-05-14,20
509,50141,80,2026-03-14,20
510,5076,80,2027-09-09,30
511,61695,20,2028-09-17,10
512,29155,100,2026-09-11,10
513,26159,80,2028-11-17,5
514,60333,40,2027-05-15,10
515,45831,40,2028-01-06,10
516,40002,30,2027-09-02,10
517,29832,20,2026-10-11,30
518,29220,100,2028-07-18,10
519,3102,30,2026-08-30,5
520,86512,30,2026-04-13,20
521,25314,30,2026-03-30,20
522,52228,80,2027-06-14,20
523,43026,100,2028-12-08,5
524,36518,30,2027-06-13,20
525,9100,20,2027-11-29,20
526,36586,80,2028-01-01,20
527,46026,20,2028-08-22,20
528,84081,30,2027-12-09,5
529,66769,40,2027-08-31,20
530,52387,100,2026-10-14,5
531,89066,100,2028-02-01,20
532,70283,40,2028-01-19,20
533,43405,100,2026-06-27,10
534,3618,100,2027-03-08,5
535,15119,20,2028-07-16,20
536,34238,100,2027-08-25,20
537,23406,30,2027-01-12,10
538,76100,30,2027-11-18,30
539,34796,40,2026-11-15,30
540,5015,100,2028-04-20,10
541,14209,20,2027-07-24,20
542,78194,40,2026-02-17,20
543,56960,80,2028-12-24,30
544,45310,40,2026-05-18,30
545,95492,30,2026-12-12,5
546,41115,20,2027-11-20,10
547,57200,40,2026-07-29,10
548,79458,20,2026-09-04,20
549,67034,80,2026-11-23,10
550,15158,20,2026-06-21,30
551,50489,80,2028-01-27,20
552,75575,80,2027-04-02,30
553,24915,30,2026-01-01,5
554,33387,40,2027-01-31,10
555,5818,40,2026-03-25,5
556,92902,40,2028-03-22,20
557,57155,20,2028-07-27,20
558,222,40,2028-04-06,20
559,68147,20,2027-06-26,30
560,70576,80,2027-03-08,20
561,90028,100,2026-10-26,10
562,94298,100,2028-02-24,10
563,97249,40,2028-08-29,30
564,96606,40,2026-07-27,30
565,87901,20,2028-05-17,20
566,25826,80,2028-03-16,20
567,47740,80,2028-04-03,20
568,56532,20,2028-03-24,10
569,9172,30,2028-02-24,20
570,87063,40,2028-11-07,30
571,43280,20,2028-07-05,5
572,81679,20,2026-04-25,30
573,41146,100,2028-04-17,30
574,99577,100,2028-03-10,10
575,16335,100,2027-01-12,20
576,94340,100,2028-04-12,10
577,39364,30,2027-09-30,20
578,66470,30,2028-05-16,10
579,40539,100,2027-10-09,5
580,87411,40,2028-05-01,10
581,53529,100,2027-02-27,30
582,42754,100,2027-08-06,30
583,52744,80,2027-08-17,5
584,91385,80,2027-03-18,10
585,38753,30,2028-04-29,5
586,72668,20,2026-04-19,30
587,16684,100,2028-05-20,30
588,25145,80,2026-04-03,20
589,55109,30,2027-08-03,20
590,87154,20,2027-02-24,20
591,49696,100,2026-07-24,30
592,88778,40,2027-09-26,5
593,98060,80,2026-08-12,20
594,22811,80,2027-09-10,30
595,80677,80,2026-01-13,20
596,74594,80,2028-03-12,20
597,39447,80,2026-02-22,10
598,53226,80,2027-02-20,10
599,71820,40,2026-09-24,30
600,54,80,2027-01-01,10
601,39830,80,2026-07-21,10
602,37607,20,2028-07-24,10
603,27550,80,2028-03-04,20
604,56347,80,2028-05-07,30
605,76020,30,2026-04-25,30
606,79517,20,2028-09-27,10
607,85814,80,2028-10-10,10
608,42238,30,2028-04-26,20
609,60947,80,2028-04-24,5
610,57906,40,2028-07-30,30
611,57955,80,2027-12-24,30
612,88556,20,2028-05-03,20
613,28011,20,2026-11-17,10
614,67001,80,2026-08-14,10
615,62022,30,2027-06-08,20
616,96464,40,2028-07-07,10
617,22242,40,2027-06-22,5
618,86357,80,2028-05-31,20
619,11115,100,2027-01-12,30
620,37197,20,2027-09-09,5
621,67562,20,2027-11-28,30
622,87013,100,2026-05-26,10
623,82961,30,2028-11-29,5
624,81168,80,2026-01-26,10
625,43934,30,2026-08-26,20
626,12241,80,2028-05-05,30
627,98454,20,2027-11-28,10
628,30785,30,2026-03-24,20
629,88185,20,2029-01-01,10
630,40688,100,2028-02-29,5
631,29445,80,2028-04-04,10
632,26101,40,2028-01-16,30
633,19314,100,2026-06-27,5
634,3202,20,2027-02-02,5
635,6058,100,2028-06-21,20
636,32093,100,2028-02-28,10
637,62278,100,2026-02-27,20
638,80121,20,2027-08-31,20
639,9546,20,2028-03-07,5
640,59693,80,2028-04-11,5
641,54322,30,2026-01-08,30
642,82545,30,2027-11-03,20
643,75455,100,2027-12-17,10
644,25486,100,2028-05-08,5
645,94156,20,2027-08-19,5
646,91273,100,2026-01-13,20
647,50329,80,2027-06-21,30
648,64800,40,2028-12-21,20
649,52384,20,2026-12-13,20
650,31980,100,2027-05-15,30
651,19343,20,2027-03-18,10
652,85991,80,2027-04-16,20
653,90129,40,2027-06-23,20
654,727,40,2026-02-17,20
655,98431,80,2027-02-19,5
656,13971,20,2027-10-23,10
657,55725,80,2026-06-03,20
658,28684,40,2028-06-30,10
659,23054,40,2028-01-24,30
660,91215,80,2027-04-13,30
661,67890,30,2026-04-07,20
662,60890,20,2026-10-11,5
663,6583,80,2027-02-05,30
664,73061,100,2028-06-10,10
665,32663,20,2028-08-01,10
666,15907,30,2027-02-11,20
667,59830,80,2027-05-27,30
668,17478,100,2027-11-14,30
669,60902,20,2026-05-03,5
670,87501,40,2026-03-11,10
671,69617,40,2027-02-23,5
672,73260,80,2026-11-11,10
673,78048,30,2027-10-21,30
674,41589,30,2026-09-11,10
675,98993,40,2027-02-03,10
676,58009,40,2028-07-04,5
677,80302,30,2026-02-03,20
678,94277,80,2027-09-28,10
679,66163,20,2027-03-25,30
680,55934,20,2028-02-18,10
681,71811,100,2028-07-12,10
682,58447,100,2028-07-08,5
683,20862,30,2027-06-01,20
684,97473,80,2027-09-27,20
685,62217,30,2026-09-02,5
686,58992,80,2028-03-26,5
687,33973,80,2026-03-02,5
688,98537,100,2028-02-29,5
689,32407,100,2028-06-12,30
690,83580,40,2027-06-25,10
691,36348,40,2027-04-08,20
692,68328,40,2028-10-06,5
693,63518,80,2026-08-20,20
694,82150,80,2027-02-28,10
695,31359,80,2026-02-08,30
696,35993,20,2026-02-05,5
697,57655,30,2026-12-02,10
698,10156,20,2027-01-04,10
699,93526,20,2027-04-12,30
700,37451,80,2026-11-23,30
701,30736,100,2027-08-03,30
702,35615,30,2026-03-22,5
703,44021,80,2026-03-28,10
704,41905,40,2026-02-28,10
705,70799,40,2026-09-20,5
706,10562,80,2026-10-26,20
707,18137,100,2026-01-19,20
708,19770,30,2027-08-21,20
709,30312,20,2026-06-07,30
710,50206,100,2027-04-02,10
711,90958,20,2026-05-14,20
712,20029,30,2028-02-13,30
713,92592,100,2027-12-10,30
714,28044,30,2027-02-02,20
715,8419,80,2028-02-15,30
716,54378,80,2028-03-28,10
717,53425,100,2027-03-02,5
718,43370,20,2028-09-26,10
719,71122,80,2026-01-30,10
720,61070,100,2028-07-16,30
721,54497,40,2028-06-04,20
722,8162,30,2028-11-05,20
723,27111,20,2028-12-10,10
724,55070,40,2028-07-12,5
725,51050,40,2027-06-29,20
726,76557,40,2027-06-04,10
727,91164,100,2027-05-19,20
728,2561,100,2028-09-08,20
729,75457,30,2026-07-19,5
730,49858,100,2027-06-30,10
731,62519,100,2026-04-02,20
732,773,40,2028-07-21,20
733,46106,100,2028-11-12,10
734,39140,20,2026-09-03,30
735,98760,20,2026-02-28,30
736,51117,40,2027-03-27,10
737,54922,100,2028-01-09,30
738,70546,80,2028-05-17,5
739,97979,20,2027-06-01,10
740,96290,80,2026-03-23,10
741,71583,100,2028-04-22,20
742,79070,40,2028-12-12,20
743,28907,30,2027-03-19,5
744,63994,40,2027-03-21,30
745,28761,30,2027-05-31,30
746,35775,20,2028-03-04,30
747,57126,100,2026-03-25,20
748,63655,80,2026-05-07,20
749,3805,40,2027-05-28,20
750,50969,30,2026-12-18,20
751,44058,100,2027-01-17,20
752,87671,100,2026-08-09,20
753,89017,100,2026-01-14,30
754,52995,40,2027-10-31,10
755,94920,20,2028-11-03,10
756,21633,20,2026-03-23,20
757,61262,100,2028-09-11,30
758,16729,100,2028-03-29,20
759,81561,80,2026-05-15,20
760,70009,20,2028-02-26,20
761,3535,80,2026-05-09,20
762,51646,20,2028-10-18,30
763,77581,40,2026-08-31,5
764,73976,40,2028-04-01,30
765,86901,30,2026-09-23,30
766,3553,30,2027-07-21,30
767,11004,30,2026-03-07,10
768,84247,40,2028-10-06,30
769,56180,40,2027-04-22,20
770,17787,80,2028-02-25,30
771,60516,80,2028-07-31,10
772,23820,80,2026-02-27,10
773,6591,30,2026-07-17,5
774,34100,30,2027-07-22,20
775,49690,100,2028-05-29,5
776,42907,40,2027-07-17,30
777,27743,100,2028-11-04,20
778,59599,40,2026-07-27,20
779,42841,20,2028-04-21,10
780,44237,30,2028-09-11,30
781,49693,30,2028-12-27,5
782,36472,100,2026-10-22,10
783,98568,80,2026-08-13,5
784,55256,40,2028-05-07,5
785,33066,30,2027-02-09,10
786,10736,100,2028-11-09,5
787,61645,40,2028-07-01,10
788,2541,30,2028-10-02,10
789,98177,30,2027-07-13,10
790,70703,80,2027-10-09,5
791,6827,20,2028-05-22,10
792,45871,40,2028-03-10,30
793,29390,20,2028-10-28,20
794,85216,20,2026-09-01,20
795,8994,80,2028-06-23,30
796,85427,20,2028-02-26,10
797,5277,20,2027-10-09,10
798,98859,100,2026-04-14,30
799,4068,30,2028-08-09,30
800,32412,20,2026-07-11,5
801,26131,100,2026-12-04,10
802,2672,40,2027-07-04,5
803,81440,30,2028-06-07,5
804,19974,100,2027-04-06,20
805,31267,100,2028-08-09,20
806,16545,30,2028-02-07,20
807,62071,20,2028-11-08,20
808,87748,100,2027-08-18,10
809,14994,20,2027-09-06,20
810,73921,40,2027-01-02,30
811,28570,80,2028-08-15,20
812,60953,80,2028-07-13,20
813,91681,30,2028-12-02,30
814,33587,80,2028-11-24,5
815,48352,40,2027-12-03,10
816,21993,100,2026-09-24,20
817,79416,20,2027-02-14,10
818,79594,80,2027-02-22,10
819,98033,30,2028-03-20,20
820,94157,20,2028-12-01,5
821,15013,100,2027-09-05,20
822,21466,40,2026-05-04,10
823,40769,20,2028-12-02,20
824,99493,30,2028-08-15,10
825,75850,40,2026-08-12,10
826,3366,20,2027-10-09,30
827,40889,100,2028-05-26,20
828,75471,40,2028-12-23,10
829,88782,100,2028-06-06,5
830,49193,30,2026-01-26,20
831,51991,30,2028-11-11,30
832,93719,20,2026-03-14,5
833,25996,100,2026-04-08,30
834,9962,30,2027-08-09,30
835,77608,40,2026-11-08,5
836,90521,30,2026-11-07,20
837,82214,80,2026-11-11,20
838,31831,40,2027-03-25,30
839,13357,80,2026-11-10,10
840,91383,20,2028-05-18,30
841,39530,40,2027-06-18,20
842,89688,80,2028-05-11,30
843,78698,20,2027-01-24,30
844,15867,20,2028-06-19,5
845,74178,20,2026-04-15,20
846,5384,40,2028-09-17,20
847,45509,30,2028-11-05,10
848,69828,40,2028-07-16,20
849,56149,30,2028-07-28,5
850,86707,20,2028-08-31,5
851,48572,100,2027-12-19,30
852,9039,100,2026-08-07,5
853,66318,80,2026-06-15,30
854,84875,40,2028-10-31,5
855,44726,40,2026-09-02,30
856,1659,30,2027-04-29,10
857,55058,80,2028-11-27,20
858,64252,20,2028-10-28,30
859,13834,20,2028-01-16,30
860,56823,20,2027-12-07,30
861,47473,30,2026-08-06,5
862,83308,20,2026-02-08,20
863,60259,80,2026-05-24,20
864,92709,20,2028-06-08,20
865,20053,80,2028-11-22,20
866,57081,100,2026-03-20,5
867,23087,30,2028-06-28,5
868,96181,100,2028-05-03,5
869,68387,40,2028-05-16,10
870,85257,100,2026-06-18,5
871,35401,30,2028-07-30,20
872,80729,30,2027-03-21,30
