id,swimming_school_id,max_depth,min_depth,is_for_disabled,max_capacity,length,is_olympic,num_of_lanes
115,12,160,140,1,36,50,1,6
116,12,190,150,0,60,50,0,10
117,12,230,120,1,48,50,0,8
118,12,240,120,0,90,40,0,15
119,12,180,150,1,90,25,0,15
120,12,220,120,1,72,50,0,12
121,13,220,140,1,60,40,0,10
122,13,220,100,1,90,25,1,15
123,13,210,140,0,60,50,0,10
124,13,190,120,0,72,40,1,12
125,13,210,140,1,24,25,1,4
126,13,250,120,1,36,50,1,6
127,13,220,120,1,48,25,0,8
128,13,210,140,0,90,50,1,15
129,13,210,120,1,60,25,0,10
130,13,160,150,1,24,40,0,4
131,14,170,100,1,36,25,0,6
132,14,210,100,1,48,40,0,8
133,14,210,100,1,24,25,1,4
134,14,230,150,1,60,40,1,10
135,14,200,100,1,24,50,1,4
136,14,210,150,1,90,40,1,15
137,14,180,120,0,48,50,1,8
138,14,160,140,1,60,50,0,10
139,14,190,140,1,72,50,0,12
140,14,170,150,1,36,40,0,6
141,15,210,120,1,36,40,0,6
142,15,160,100,0,72,50,1,12
143,15,160,100,0,60,40,0,10
144,15,250,150,1,48,25,0,8
145,15,170,120,1,24,50,0,4
146,15,240,140,1,48,40,1,8
147,15,240,100,1,36,40,0,6
148,15,220,150,1,24,25,0,4
149,15,170,150,1,72,50,0,12
150,15,200,120,1,60,25,1,10
151,16,220,100,0,72,40,1,12
152,16,190,140,1,48,40,0,8
153,16,190,100,1,90,25,1,15
154,16,190,100,0,24,50,1,4
155,16,230,140,1,90,25,0,15
156,16,250,100,1,72,50,1,12
157,16,240,120,1,36,40,1,6
158,16,240,100,1,72,40,0,12
159,16,220,150,1,72,25,0,12
160,16,190,150,1,24,50,1,4
161,17,230,120,1,72,50,1,12
162,17,240,150,1,24,50,0,4
163,17,210,150,1,90,40,1,15
164,17,230,140,1,90,40,1,15
165,17,170,100,0,90,25,1,15
166,17,250,140,1,72,25,1,12
167,17,190,140,1,48,40,0,8
168,17,190,150,1,48,50,0,8
169,17,220,150,1,90,50,1,15
170,17,190,140,1,36,40,0,6
171,18,250,100,1,60,25,0,10
172,18,170,100,1,90,25,1,15
173,18,250,100,1,60,40,0,10
174,18,160,140,1,48,25,0,8
175,18,160,120,1,24,40,1,4
176,18,170,100,1,90,25,0,15
177,18,210,100,1,72,40,0,12
178,18,210,120,1,24,40,1,4
179,18,200,120,0,60,25,1,10
180,18,200,140,1,48,50,0,8
181,19,180,120,1,90,50,0,15
182,19,160,140,1,36,40,0,6
183,19,210,140,1,72,25,0,12
184,19,210,150,1,48,25,0,8
185,19,200,120,1,36,50,0,6
186,19,200,150,1,36,40,0,6
187,19,250,120,1,72,50,1,12
188,19,240,140,1,48,25,1,8
189,19,170,120,1,90,50,1,15
190,19,160,100,0,72,25,0,12
191,20,180,120,1,90,50,1,15
192,20,230,120,1,36,50,1,6
193,20,160,150,0,90,40,0,15
194,20,250,150,1,90,50,0,15
195,20,200,150,1,24,50,1,4
196,20,190,150,1,48,40,0,8
197,20,240,150,1,48,50,0,8
198,20,220,100,1,36,40,1,6
199,20,200,150,1,90,25,1,15
200,20,180,100,1,72,50,1,12
201,21,220,120,1,48,25,1,8
202,21,220,150,0,48,40,1,8
203,21,250,150,1,24,40,1,4
204,21,210,100,1,60,25,1,10
205,21,240,100,1,90,40,1,15
206,21,200,140,1,60,50,0,10
207,21,180,100,1,24,25,1,4
208,21,200,100,0,48,50,0,8
209,21,230,120,1,48,40,0,8
210,21,240,100,1,90,40,0,15
211,22,200,140,1,60,50,0,10
212,22,210,100,1,48,25,1,8
213,22,190,120,1,90,40,0,15
214,22,170,100,1,36,40,1,6
215,22,170,100,0,72,40,0,12
216,22,190,140,1,90,25,1,15
217,22,250,120,1,60,40,0,10
218,22,220,140,1,90,50,0,15
219,22,220,140,1,72,50,1,12
220,22,210,150,1,36,50,0,6
221,23,210,140,1,24,50,1,4
222,23,250,100,1,36,50,0,6
223,23,170,140,1,24,25,1,4
224,23,220,150,0,48,40,1,8
225,23,190,150,1,90,50,0,15
226,23,250,120,1,36,50,1,6
227,23,230,100,1,60,25,1,10
228,23,170,140,1,36,40,0,6
229,23,180,150,1,60,25,0,10
230,23,250,150,1,36,25,0,6
231,24,180,140,1,48,50,1,8
232,24,200,150,1,90,40,0,15
233,24,240,140,1,72,40,0,12
234,24,160,140,0,48,50,1,8
235,24,250,150,1,48,50,1,8
236,24,230,150,0,90,50,0,15
237,24,210,100,1,72,50,1,12
238,24,200,100,1,72,40,0,12
239,24,220,150,1,60,25,1,10
240,24,170,150,1,90,25,1,15
241,25,210,150,1,24,25,1,4
242,25,220,150,1,72,25,0,12
243,25,240,100,1,72,50,1,12
244,25,180,120,1,48,25,0,8
245,25,160,100,1,90,25,0,15
246,25,200,120,0,48,25,0,8
247,25,160,100,1,90,40,0,15
248,25,160,120,1,36,40,1,6
249,25,160,120,1,48,50,0,8
250,25,220,150,0,90,40,1,15
251,26,230,140,1,72,40,0,12
252,26,230,150,1,60,50,1,10
253,26,180,150,1,24,50,0,4
254,26,170,100,1,90,50,1,15
255,26,180,140,1,90,50,1,15
256,26,230,100,1,90,50,1,15
257,26,220,150,0,36,50,0,6
258,26,170,100,1,48,25,1,8
259,26,190,120,1,48,40,0,8
260,26,220,100,0,36,40,1,6
261,27,210,120,1,24,25,1,4
262,27,180,140,1,48,50,0,8
263,27,220,140,1,24,25,1,4
264,27,250,100,1,90,40,0,15
265,27,200,120,1,72,50,0,12
266,27,220,120,1,48,50,0,8
267,27,210,150,1,90,40,1,15
268,27,240,100,1,60,25,0,10
269,27,250,100,1,72,50,0,12
270,27,220,120,0,72,40,1,12
271,28,210,150,1,48,25,0,8
272,28,160,120,1,24,40,1,4
273,28,190,120,0,72,25,1,12
274,28,210,120,1,60,50,1,10
275,28,220,100,1,36,50,0,6
276,28,160,120,1,72,40,0,12
277,28,200,140,1,60,50,0,10
278,28,170,150,1,36,50,0,6
279,28,170,120,1,90,40,1,15
280,28,230,120,0,72,25,1,12
281,29,250,140,1,72,25,1,12
282,29,200,140,1,60,25,0,10
283,29,180,150,1,36,50,1,6
284,29,160,100,0,48,50,0,8
285,29,180,100,0,24,40,0,4
286,29,250,120,1,48,40,1,8
287,29,200,120,1,60,25,0,10
288,29,220,150,1,72,50,1,12
289,29,220,140,1,48,50,1,8
290,29,190,120,1,90,50,1,15
291,30,180,120,1,48,50,1,8
292,30,180,140,1,60,50,0,10
293,30,250,120,1,36,40,1,6
294,30,190,140,1,36,40,0,6
295,30,200,100,0,24,40,1,4
296,30,220,150,1,72,50,1,12
297,30,210,140,1,72,50,1,12
298,30,190,100,0,48,50,0,8
299,30,230,150,1,36,40,0,6
300,30,220,150,1,60,40,0,10
301,31,180,150,1,90,25,1,15
302,31,210,150,1,48,40,1,8
303,31,190,120,1,48,40,1,8
304,31,250,150,1,72,25,1,12
305,31,240,100,1,48,50,0,8
306,31,220,120,0,72,50,0,12
307,31,240,100,1,60,50,0,10
308,31,160,120,1,72,25,0,12
309,31,180,150,0,60,25,0,10
310,31,160,100,1,72,25,0,12
311,32,170,120,1,72,25,0,12
312,32,180,140,1,48,25,1,8
313,32,200,150,1,48,50,1,8
314,32,180,140,1,72,40,1,12
315,32,180,150,1,90,25,1,15
316,32,250,150,0,48,50,1,8
317,32,220,150,1,48,25,1,8
318,32,200,150,1,36,40,1,6
319,32,250,150,1,36,50,0,6
320,32,250,120,1,60,50,0,10
321,33,210,140,1,90,25,0,15
322,33,250,100,1,60,40,0,10
323,33,250,150,1,60,40,0,10
324,33,240,100,1,72,50,0,12
325,33,230,150,0,90,40,0,15
326,33,230,150,1,90,50,1,15
327,33,250,140,1,72,50,1,12
328,33,170,120,0,24,50,1,4
329,33,180,100,1,60,40,1,10
330,33,230,140,0,90,40,0,15
331,34,230,100,1,24,50,0,4
332,34,220,140,1,90,50,0,15
333,34,170,100,1,72,25,0,12
334,34,190,120,1,90,25,0,15
335,34,240,140,1,24,25,1,4
336,34,220,120,1,90,50,1,15
337,34,230,120,1,24,50,0,4
338,34,200,150,1,36,40,0,6
339,34,250,120,1,60,25,1,10
340,34,210,100,1,60,50,0,10
341,35,210,150,1,36,50,1,6
342,35,170,100,1,60,50,0,10
343,35,240,140,1,72,40,1,12
344,35,250,120,1,72,40,0,12
345,35,160,150,1,72,25,1,12
346,35,250,150,1,24,25,1,4
347,35,190,120,1,36,40,0,6
348,35,240,120,1,36,40,0,6
349,35,220,120,1,72,40,0,12
350,35,210,140,1,24,40,0,4
351,36,250,140,1,24,25,1,4
352,36,210,150,1,72,50,0,12
353,36,170,120,0,60,50,1,10
354,36,230,140,0,72,25,0,12
355,36,190,140,1,24,40,0,4
356,36,250,140,1,72,40,1,12
357,36,230,150,1,72,25,0,12
358,36,230,140,1,24,25,0,4
359,36,210,140,1,90,50,1,15
360,36,250,140,1,90,40,0,15
361,37,220,120,1,36,25,0,6
362,37,220,120,1,36,40,1,6
363,37,170,150,1,72,50,0,12
364,37,250,140,1,90,25,0,15
365,37,210,100,1,48,25,0,8
366,37,200,140,0,24,40,1,4
367,37,240,140,0,60,25,1,10
368,37,170,140,1,60,50,0,10
369,37,250,140,0,24,40,0,4
370,37,250,150,1,48,25,1,8
371,38,190,150,0,36,50,0,6
372,38,220,120,1,90,40,1,15
373,38,200,100,1,48,25,1,8
374,38,220,140,1,90,40,1,15
375,38,210,150,1,36,50,1,6
376,38,220,140,1,24,40,0,4
377,38,190,140,1,60,40,1,10
378,38,160,100,1,48,25,0,8
379,38,160,120,0,90,40,0,15
380,38,240,100,1,24,50,1,4
381,39,200,100,0,24,50,0,4
382,39,220,150,1,60,25,0,10
383,39,190,150,1,90,40,1,15
384,39,190,120,0,60,25,0,10
385,39,200,140,1,72,50,1,12
386,39,220,140,1,36,25,0,6
387,39,200,120,1,48,40,0,8
388,39,220,150,1,36,50,1,6
389,39,230,120,1,36,40,1,6
390,39,180,100,1,24,25,1,4
391,40,230,140,1,72,40,1,12
392,40,160,100,0,24,25,1,4
393,40,240,150,1,72,40,1,12
394,40,180,120,1,36,25,1,6
395,40,160,100,1,48,50,0,8
396,40,160,100,0,60,40,1,10
397,40,200,150,1,90,25,0,15
398,40,160,120,1,36,50,0,6
399,40,180,150,0,90,40,1,15
400,40,210,100,1,24,50,1,4
401,41,250,140,0,90,40,1,15
402,41,190,120,0,60,40,0,10
403,41,210,150,0,24,50,1,4
404,41,200,150,1,60,40,1,10
405,41,220,120,1,60,40,1,10
406,41,170,120,0,72,25,1,12
407,41,160,150,1,60,25,0,10
408,41,240,150,1,24,40,1,4
409,41,230,150,1,72,50,0,12
410,41,200,140,1,36,50,0,6
411,42,200,100,1,90,25,0,15
412,42,210,150,0,72,50,0,12
413,42,170,150,1,72,40,0,12
414,42,190,140,1,24,25,1,4
415,42,160,140,1,60,50,1,10
416,42,170,100,0,90,50,0,15
417,42,190,120,1,24,25,1,4
418,42,160,150,0,24,25,0,4
419,42,170,150,1,36,40,1,6
420,42,220,120,1,60,25,1,10
421,43,160,140,1,24,25,0,4
422,43,170,150,1,60,25,0,10
423,43,210,140,1,24,50,1,4
424,43,190,150,0,60,50,0,10
425,43,220,120,0,60,25,0,10
426,43,190,140,1,48,40,1,8
427,43,160,140,1,24,40,0,4
428,43,190,150,0,90,25,0,15
429,43,240,140,1,24,50,1,4
430,43,170,120,1,24,25,0,4
431,44,240,140,1,90,50,1,15
432,44,240,100,0,72,50,1,12
433,44,200,120,1,90,50,1,15
434,44,190,150,1,60,25,1,10
435,44,180,100,1,60,40,0,10
436,44,200,150,1,36,25,0,6
437,44,250,100,1,90,25,0,15
438,44,170,150,1,72,50,0,12
439,44,190,150,1,60,25,1,10
440,44,200,120,1,24,40,0,4
441,45,180,120,1,24,40,1,4
442,45,220,150,0,48,40,0,8
443,45,250,100,1,48,50,0,8
444,45,230,120,0,48,25,0,8
445,45,180,140,1,90,50,0,15
446,45,180,100,1,90,25,1,15
447,45,190,100,1,48,25,0,8
448,45,180,150,0,36,25,0,6
449,45,230,120,1,36,25,0,6
450,45,210,140,0,90,25,0,15
451,46,170,150,1,36,25,1,6
452,46,230,140,1,60,25,1,10
453,46,200,150,1,48,25,0,8
454,46,250,150,1,72,25,0,12
455,46,220,150,1,48,40,1,8
456,46,170,150,1,60,25,0,10
457,46,250,100,1,60,40,1,10
458,46,200,100,0,24,25,0,4
459,46,170,120,1,60,40,1,10
460,46,190,100,1,90,50,1,15
461,47,190,140,1,24,50,0,4
462,47,170,100,0,72,40,0,12
463,47,240,100,1,48,40,1,8
464,47,180,150,0,24,40,0,4
465,47,180,100,1,48,50,0,8
466,47,160,100,1,60,40,1,10
467,47,200,120,1,72,40,0,12
468,47,170,100,1,90,40,1,15
469,47,250,140,1,36,25,0,6
470,47,160,100,1,48,25,0,8
471,48,180,150,0,60,50,1,10
472,48,230,140,0,36,40,1,6
473,48,160,100,1,36,25,1,6
474,48,210,150,1,24,40,0,4
475,48,180,140,1,36,25,0,6
476,48,220,120,1,48,40,0,8
477,48,230,120,1,60,25,1,10
478,48,200,150,1,48,40,0,8
479,48,240,140,1,72,25,0,12
480,48,230,140,1,60,25,0,10
481,49,230,150,1,48,40,1,8
482,49,200,120,1,60,40,0,10
483,49,230,150,1,90,25,0,15
484,49,210,140,1,48,25,0,8
485,49,210,140,0,72,40,0,12
486,49,210,140,1,90,50,0,15
487,49,160,120,1,24,40,0,4
488,49,250,100,1,60,50,1,10
489,49,160,150,1,72,50,1,12
490,49,170,140,1,36,50,1,6
491,50,230,120,1,72,50,0,12
492,50,190,120,1,24,25,1,4
493,50,210,100,0,48,25,1,8
494,50,200,150,1,36,40,1,6
495,50,190,120,1,24,25,1,4
496,50,190,120,1,60,25,0,10
497,50,170,150,1,24,25,0,4
498,50,200,140,1,60,40,1,10
499,50,230,100,0,24,25,1,4
500,50,180,150,1,36,25,0,6
