course_id,swimming_school_id,instructor_id,description,class_type
3,41,142,"Individual swimming class for Beginner course introducing essential water safety, floating, and basic swimming movements.",IN
3,41,142,"Semi-private swimming class for Beginner course introducing essential water safety, floating, and basic swimming movements.",SP
3,41,142,"Private swimming class for Beginner course introducing essential water safety, floating, and basic swimming movements.",PR
3,41,142,"Private swimming class for Beginner course introducing essential water safety, floating, and basic swimming movements.",PR
3,41,142,"Individual swimming class for Beginner course introducing essential water safety, floating, and basic swimming movements.",IN
4,29,627,Individual swimming class for Adaptive swimming course supporting mobility and confidence through personalized instruction.,IN
4,29,627,Private swimming class for Adaptive swimming course supporting mobility and confidence through personalized instruction.,PR
4,29,627,Group swimming class for Adaptive swimming course supporting mobility and confidence through personalized instruction.,GR
4,29,627,Group swimming class for Adaptive swimming course supporting mobility and confidence through personalized instruction.,GR
5,36,3079,Semi-private swimming class for Mixed-level course offering structured development tailored to different skill levels.,SP
5,36,3079,Group swimming class for Mixed-level course offering structured development tailored to different skill levels.,GR
5,36,3079,Private swimming class for Mixed-level course offering structured development tailored to different skill levels.,PR
5,36,3079,Private swimming class for Mixed-level course offering structured development tailored to different skill levels.,PR
6,26,4783,Private swimming class for Children’s course focused on building water confidence and fundamental swimming abilities.,PR
6,26,4783,Group swimming class for Children’s course focused on building water confidence and fundamental swimming abilities.,GR
7,16,3710,"Semi-private swimming class for Senior swimming course promoting mobility, flexibility, and cardiovascular health.",SP
7,16,3710,"Group swimming class for Senior swimming course promoting mobility, flexibility, and cardiovascular health.",GR
7,16,3710,"Semi-private swimming class for Senior swimming course promoting mobility, flexibility, and cardiovascular health.",SP
8,34,608,"Group swimming class for Triathlon-focused course emphasizing endurance, pacing, and open-water techniques.",GR
8,34,608,"Private swimming class for Triathlon-focused course emphasizing endurance, pacing, and open-water techniques.",PR
8,34,608,"Private swimming class for Triathlon-focused course emphasizing endurance, pacing, and open-water techniques.",PR
8,34,608,"Individual swimming class for Triathlon-focused course emphasizing endurance, pacing, and open-water techniques.",IN
8,34,608,"Group swimming class for Triathlon-focused course emphasizing endurance, pacing, and open-water techniques.",GR
8,34,608,"Group swimming class for Triathlon-focused course emphasizing endurance, pacing, and open-water techniques.",GR
9,30,614,"Individual swimming class for Water fitness course aimed at improving strength, flexibility, and endurance.",IN
9,30,614,"Private swimming class for Water fitness course aimed at improving strength, flexibility, and endurance.",PR
9,30,614,"Group swimming class for Water fitness course aimed at improving strength, flexibility, and endurance.",GR
9,30,614,"Individual swimming class for Water fitness course aimed at improving strength, flexibility, and endurance.",IN
9,30,614,"Group swimming class for Water fitness course aimed at improving strength, flexibility, and endurance.",GR
9,30,614,"Semi-private swimming class for Water fitness course aimed at improving strength, flexibility, and endurance.",SP
9,30,614,"Private swimming class for Water fitness course aimed at improving strength, flexibility, and endurance.",PR
9,30,614,"Semi-private swimming class for Water fitness course aimed at improving strength, flexibility, and endurance.",SP
9,30,614,"Private swimming class for Water fitness course aimed at improving strength, flexibility, and endurance.",PR
9,30,614,"Individual swimming class for Water fitness course aimed at improving strength, flexibility, and endurance.",IN
9,30,614,"Private swimming class for Water fitness course aimed at improving strength, flexibility, and endurance.",PR
9,30,614,"Private swimming class for Water fitness course aimed at improving strength, flexibility, and endurance.",PR
10,13,1217,Individual swimming class for Individual swimming course tailored to personal goals and learning pace.,IN
10,13,1217,Private swimming class for Individual swimming course tailored to personal goals and learning pace.,PR
10,13,1217,Group swimming class for Individual swimming course tailored to personal goals and learning pace.,GR
11,2,1806,"Individual swimming class for Course focused on rescue techniques, prevention, and water safety awareness.",IN
11,2,1806,"Individual swimming class for Course focused on rescue techniques, prevention, and water safety awareness.",IN
11,2,1806,"Individual swimming class for Course focused on rescue techniques, prevention, and water safety awareness.",IN
11,2,1806,"Semi-private swimming class for Course focused on rescue techniques, prevention, and water safety awareness.",SP
11,2,1806,"Semi-private swimming class for Course focused on rescue techniques, prevention, and water safety awareness.",SP
11,2,1806,"Private swimming class for Course focused on rescue techniques, prevention, and water safety awareness.",PR
11,2,1806,"Individual swimming class for Course focused on rescue techniques, prevention, and water safety awareness.",IN
11,2,1806,"Private swimming class for Course focused on rescue techniques, prevention, and water safety awareness.",PR
11,2,1806,"Group swimming class for Course focused on rescue techniques, prevention, and water safety awareness.",GR
11,2,1806,"Individual swimming class for Course focused on rescue techniques, prevention, and water safety awareness.",IN
11,2,1806,"Group swimming class for Course focused on rescue techniques, prevention, and water safety awareness.",GR
11,2,1806,"Private swimming class for Course focused on rescue techniques, prevention, and water safety awareness.",PR
12,43,1687,Semi-private swimming class for Course preparing participants for safe swimming in natural environments.,SP
12,43,1687,Private swimming class for Course preparing participants for safe swimming in natural environments.,PR
12,43,1687,Group swimming class for Course preparing participants for safe swimming in natural environments.,GR
12,43,1687,Individual swimming class for Course preparing participants for safe swimming in natural environments.,IN
12,43,1687,Private swimming class for Course preparing participants for safe swimming in natural environments.,PR
12,43,1687,Individual swimming class for Course preparing participants for safe swimming in natural environments.,IN
12,43,1687,Semi-private swimming class for Course preparing participants for safe swimming in natural environments.,SP
12,43,1687,Semi-private swimming class for Course preparing participants for safe swimming in natural environments.,SP
13,32,4118,Semi-private swimming class for Course designed for relaxed swimming and maintaining general fitness.,SP
13,32,4118,Individual swimming class for Course designed for relaxed swimming and maintaining general fitness.,IN
14,34,3910,Private swimming class for Course focused on preparing swimmers for competitions and performance tracking.,PR
14,34,3910,Individual swimming class for Course focused on preparing swimmers for competitions and performance tracking.,IN
14,34,3910,Individual swimming class for Course focused on preparing swimmers for competitions and performance tracking.,IN
14,34,3910,Private swimming class for Course focused on preparing swimmers for competitions and performance tracking.,PR
14,34,3910,Semi-private swimming class for Course focused on preparing swimmers for competitions and performance tracking.,SP
14,34,3910,Semi-private swimming class for Course focused on preparing swimmers for competitions and performance tracking.,SP
14,34,3910,Private swimming class for Course focused on preparing swimmers for competitions and performance tracking.,PR
14,34,3910,Individual swimming class for Course focused on preparing swimmers for competitions and performance tracking.,IN
14,34,3910,Individual swimming class for Course focused on preparing swimmers for competitions and performance tracking.,IN
14,34,3910,Semi-private swimming class for Course focused on preparing swimmers for competitions and performance tracking.,SP
14,34,3910,Group swimming class for Course focused on preparing swimmers for competitions and performance tracking.,GR
14,34,3910,Group swimming class for Course focused on preparing swimmers for competitions and performance tracking.,GR
15,11,435,Group swimming class for Course dedicated to refining stroke mechanics and movement efficiency.,GR
15,11,435,Individual swimming class for Course dedicated to refining stroke mechanics and movement efficiency.,IN
15,11,435,Individual swimming class for Course dedicated to refining stroke mechanics and movement efficiency.,IN
15,11,435,Semi-private swimming class for Course dedicated to refining stroke mechanics and movement efficiency.,SP
15,11,435,Group swimming class for Course dedicated to refining stroke mechanics and movement efficiency.,GR
15,11,435,Semi-private swimming class for Course dedicated to refining stroke mechanics and movement efficiency.,SP
15,11,435,Semi-private swimming class for Course dedicated to refining stroke mechanics and movement efficiency.,SP
15,11,435,Semi-private swimming class for Course dedicated to refining stroke mechanics and movement efficiency.,SP
16,32,3387,Private swimming class for Course aimed at increasing stamina and long-distance swimming capacity.,PR
16,32,3387,Group swimming class for Course aimed at increasing stamina and long-distance swimming capacity.,GR
16,32,3387,Group swimming class for Course aimed at increasing stamina and long-distance swimming capacity.,GR
16,32,3387,Private swimming class for Course aimed at increasing stamina and long-distance swimming capacity.,PR
16,32,3387,Private swimming class for Course aimed at increasing stamina and long-distance swimming capacity.,PR
16,32,3387,Group swimming class for Course aimed at increasing stamina and long-distance swimming capacity.,GR
16,32,3387,Private swimming class for Course aimed at increasing stamina and long-distance swimming capacity.,PR
16,32,3387,Semi-private swimming class for Course aimed at increasing stamina and long-distance swimming capacity.,SP
16,32,3387,Individual swimming class for Course aimed at increasing stamina and long-distance swimming capacity.,IN
17,16,205,"Semi-private swimming class for Course focused on speed, explosive starts, and short-distance performance.",SP
17,16,205,"Group swimming class for Course focused on speed, explosive starts, and short-distance performance.",GR
17,16,205,"Private swimming class for Course focused on speed, explosive starts, and short-distance performance.",PR
17,16,205,"Individual swimming class for Course focused on speed, explosive starts, and short-distance performance.",IN
17,16,205,"Group swimming class for Course focused on speed, explosive starts, and short-distance performance.",GR
17,16,205,"Private swimming class for Course focused on speed, explosive starts, and short-distance performance.",PR
17,16,205,"Individual swimming class for Course focused on speed, explosive starts, and short-distance performance.",IN
17,16,205,"Individual swimming class for Course focused on speed, explosive starts, and short-distance performance.",IN
17,16,205,"Private swimming class for Course focused on speed, explosive starts, and short-distance performance.",PR
17,16,205,"Individual swimming class for Course focused on speed, explosive starts, and short-distance performance.",IN
17,16,205,"Group swimming class for Course focused on speed, explosive starts, and short-distance performance.",GR
17,16,205,"Private swimming class for Course focused on speed, explosive starts, and short-distance performance.",PR
17,16,205,"Semi-private swimming class for Course focused on speed, explosive starts, and short-distance performance.",SP
17,16,205,"Group swimming class for Course focused on speed, explosive starts, and short-distance performance.",GR
17,16,205,"Group swimming class for Course focused on speed, explosive starts, and short-distance performance.",GR
17,16,205,"Private swimming class for Course focused on speed, explosive starts, and short-distance performance.",PR
18,23,2486,Private swimming class for Course designed for families to learn and practice swimming together.,PR
18,23,2486,Individual swimming class for Course designed for families to learn and practice swimming together.,IN
18,23,2486,Group swimming class for Course designed for families to learn and practice swimming together.,GR
18,23,2486,Individual swimming class for Course designed for families to learn and practice swimming together.,IN
18,23,2486,Group swimming class for Course designed for families to learn and practice swimming together.,GR
18,23,2486,Group swimming class for Course designed for families to learn and practice swimming together.,GR
19,11,3802,Semi-private swimming class for Course supporting rehabilitation and recovery through aquatic exercises.,SP
19,11,3802,Group swimming class for Course supporting rehabilitation and recovery through aquatic exercises.,GR
20,45,3464,Individual swimming class for Advanced-level course focusing on precision and efficiency in swimming techniques.,IN
21,35,1509,"Individual swimming class for Intermediate program enhancing rhythm, coordination, and breathing patterns.",IN
21,35,1509,"Semi-private swimming class for Intermediate program enhancing rhythm, coordination, and breathing patterns.",SP
22,19,3187,Individual swimming class for Introductory course focused on building confidence and comfort in water.,IN
22,19,3187,Private swimming class for Introductory course focused on building confidence and comfort in water.,PR
22,19,3187,Semi-private swimming class for Introductory course focused on building confidence and comfort in water.,SP
22,19,3187,Individual swimming class for Introductory course focused on building confidence and comfort in water.,IN
22,19,3187,Individual swimming class for Introductory course focused on building confidence and comfort in water.,IN
22,19,3187,Private swimming class for Introductory course focused on building confidence and comfort in water.,PR
22,19,3187,Semi-private swimming class for Introductory course focused on building confidence and comfort in water.,SP
22,19,3187,Private swimming class for Introductory course focused on building confidence and comfort in water.,PR
22,19,3187,Semi-private swimming class for Introductory course focused on building confidence and comfort in water.,SP
22,19,3187,Semi-private swimming class for Introductory course focused on building confidence and comfort in water.,SP
22,19,3187,Group swimming class for Introductory course focused on building confidence and comfort in water.,GR
22,19,3187,Individual swimming class for Introductory course focused on building confidence and comfort in water.,IN
22,19,3187,Individual swimming class for Introductory course focused on building confidence and comfort in water.,IN
22,19,3187,Group swimming class for Introductory course focused on building confidence and comfort in water.,GR
22,19,3187,Private swimming class for Introductory course focused on building confidence and comfort in water.,PR
22,19,3187,Group swimming class for Introductory course focused on building confidence and comfort in water.,GR
23,44,4250,Individual swimming class for Inclusive course tailored to individual abilities and progression needs.,IN
23,44,4250,Individual swimming class for Inclusive course tailored to individual abilities and progression needs.,IN
23,44,4250,Group swimming class for Inclusive course tailored to individual abilities and progression needs.,GR
24,48,4821,Group swimming class for Course offering flexible progression for diverse skill levels in one group.,GR
24,48,4821,Group swimming class for Course offering flexible progression for diverse skill levels in one group.,GR
24,48,4821,Individual swimming class for Course offering flexible progression for diverse skill levels in one group.,IN
24,48,4821,Group swimming class for Course offering flexible progression for diverse skill levels in one group.,GR
24,48,4821,Group swimming class for Course offering flexible progression for diverse skill levels in one group.,GR
24,48,4821,Private swimming class for Course offering flexible progression for diverse skill levels in one group.,PR
25,8,3151,Group swimming class for Children’s program focused on gradual skill improvement and safety.,GR
25,8,3151,Individual swimming class for Children’s program focused on gradual skill improvement and safety.,IN
25,8,3151,Private swimming class for Children’s program focused on gradual skill improvement and safety.,PR
25,8,3151,Semi-private swimming class for Children’s program focused on gradual skill improvement and safety.,SP
26,18,3496,Individual swimming class for Course designed to maintain activity levels and overall health in seniors.,IN
26,18,3496,Individual swimming class for Course designed to maintain activity levels and overall health in seniors.,IN
26,18,3496,Semi-private swimming class for Course designed to maintain activity levels and overall health in seniors.,SP
27,49,285,Individual swimming class for Course aimed at improving stamina and race preparation for triathletes.,IN
27,49,285,Semi-private swimming class for Course aimed at improving stamina and race preparation for triathletes.,SP
28,12,4738,Semi-private swimming class for Fitness course focused on resistance training and muscle development in water.,SP
28,12,4738,Individual swimming class for Fitness course focused on resistance training and muscle development in water.,IN
28,12,4738,Group swimming class for Fitness course focused on resistance training and muscle development in water.,GR
28,12,4738,Group swimming class for Fitness course focused on resistance training and muscle development in water.,GR
28,12,4738,Semi-private swimming class for Fitness course focused on resistance training and muscle development in water.,SP
28,12,4738,Private swimming class for Fitness course focused on resistance training and muscle development in water.,PR
28,12,4738,Semi-private swimming class for Fitness course focused on resistance training and muscle development in water.,SP
28,12,4738,Semi-private swimming class for Fitness course focused on resistance training and muscle development in water.,SP
29,16,3080,Semi-private swimming class for One-on-one training program designed for rapid skill improvement.,SP
29,16,3080,Group swimming class for One-on-one training program designed for rapid skill improvement.,GR
30,48,3704,Group swimming class for Course covering practical rescue scenarios and emergency response techniques.,GR
30,48,3704,Group swimming class for Course covering practical rescue scenarios and emergency response techniques.,GR
30,48,3704,Semi-private swimming class for Course covering practical rescue scenarios and emergency response techniques.,SP
31,10,2196,Private swimming class for Course building confidence and adaptability in outdoor swimming conditions.,PR
31,10,2196,Group swimming class for Course building confidence and adaptability in outdoor swimming conditions.,GR
31,10,2196,Individual swimming class for Course building confidence and adaptability in outdoor swimming conditions.,IN
31,10,2196,Individual swimming class for Course building confidence and adaptability in outdoor swimming conditions.,IN
31,10,2196,Individual swimming class for Course building confidence and adaptability in outdoor swimming conditions.,IN
31,10,2196,Semi-private swimming class for Course building confidence and adaptability in outdoor swimming conditions.,SP
32,18,3593,"Individual swimming class for Course focused on enjoyment, relaxation, and light physical activity.",IN
32,18,3593,"Semi-private swimming class for Course focused on enjoyment, relaxation, and light physical activity.",SP
32,18,3593,"Individual swimming class for Course focused on enjoyment, relaxation, and light physical activity.",IN
33,23,2445,Private swimming class for Structured training program preparing swimmers for competitive events.,PR
33,23,2445,Semi-private swimming class for Structured training program preparing swimmers for competitive events.,SP
33,23,2445,Individual swimming class for Structured training program preparing swimmers for competitive events.,IN
33,23,2445,Group swimming class for Structured training program preparing swimmers for competitive events.,GR
33,23,2445,Semi-private swimming class for Structured training program preparing swimmers for competitive events.,SP
33,23,2445,Group swimming class for Structured training program preparing swimmers for competitive events.,GR
33,23,2445,Group swimming class for Structured training program preparing swimmers for competitive events.,GR
33,23,2445,Group swimming class for Structured training program preparing swimmers for competitive events.,GR
34,47,23,Group swimming class for Course focusing on detailed improvement of all swimming strokes.,GR
34,47,23,Individual swimming class for Course focusing on detailed improvement of all swimming strokes.,IN
34,47,23,Individual swimming class for Course focusing on detailed improvement of all swimming strokes.,IN
34,47,23,Semi-private swimming class for Course focusing on detailed improvement of all swimming strokes.,SP
34,47,23,Semi-private swimming class for Course focusing on detailed improvement of all swimming strokes.,SP
34,47,23,Semi-private swimming class for Course focusing on detailed improvement of all swimming strokes.,SP
34,47,23,Individual swimming class for Course focusing on detailed improvement of all swimming strokes.,IN
34,47,23,Semi-private swimming class for Course focusing on detailed improvement of all swimming strokes.,SP
34,47,23,Group swimming class for Course focusing on detailed improvement of all swimming strokes.,GR
34,47,23,Individual swimming class for Course focusing on detailed improvement of all swimming strokes.,IN
34,47,23,Semi-private swimming class for Course focusing on detailed improvement of all swimming strokes.,SP
34,47,23,Group swimming class for Course focusing on detailed improvement of all swimming strokes.,GR
34,47,23,Semi-private swimming class for Course focusing on detailed improvement of all swimming strokes.,SP
34,47,23,Private swimming class for Course focusing on detailed improvement of all swimming strokes.,PR
34,47,23,Semi-private swimming class for Course focusing on detailed improvement of all swimming strokes.,SP
34,47,23,Private swimming class for Course focusing on detailed improvement of all swimming strokes.,PR
35,31,4486,Semi-private swimming class for Course designed to enhance long-distance swimming capabilities.,SP
36,22,4700,Semi-private swimming class for Course aimed at improving sprint performance and reaction time.,SP
36,22,4700,Individual swimming class for Course aimed at improving sprint performance and reaction time.,IN
36,22,4700,Individual swimming class for Course aimed at improving sprint performance and reaction time.,IN
36,22,4700,Private swimming class for Course aimed at improving sprint performance and reaction time.,PR
36,22,4700,Individual swimming class for Course aimed at improving sprint performance and reaction time.,IN
36,22,4700,Group swimming class for Course aimed at improving sprint performance and reaction time.,GR
36,22,4700,Group swimming class for Course aimed at improving sprint performance and reaction time.,GR
36,22,4700,Private swimming class for Course aimed at improving sprint performance and reaction time.,PR
37,16,4811,Group swimming class for Course encouraging family participation in safe aquatic exercises.,GR
37,16,4811,Group swimming class for Course encouraging family participation in safe aquatic exercises.,GR
37,16,4811,Semi-private swimming class for Course encouraging family participation in safe aquatic exercises.,SP
37,16,4811,Individual swimming class for Course encouraging family participation in safe aquatic exercises.,IN
38,33,463,Group swimming class for Course supporting physical recovery and therapeutic movement in water.,GR
38,33,463,Group swimming class for Course supporting physical recovery and therapeutic movement in water.,GR
38,33,463,Individual swimming class for Course supporting physical recovery and therapeutic movement in water.,IN
38,33,463,Group swimming class for Course supporting physical recovery and therapeutic movement in water.,GR
38,33,463,Group swimming class for Course supporting physical recovery and therapeutic movement in water.,GR
38,33,463,Individual swimming class for Course supporting physical recovery and therapeutic movement in water.,IN
38,33,463,Semi-private swimming class for Course supporting physical recovery and therapeutic movement in water.,SP
38,33,463,Group swimming class for Course supporting physical recovery and therapeutic movement in water.,GR
38,33,463,Individual swimming class for Course supporting physical recovery and therapeutic movement in water.,IN
38,33,463,Group swimming class for Course supporting physical recovery and therapeutic movement in water.,GR
38,33,463,Group swimming class for Course supporting physical recovery and therapeutic movement in water.,GR
38,33,463,Semi-private swimming class for Course supporting physical recovery and therapeutic movement in water.,SP
39,1,432,Private swimming class for High-level course designed for experienced swimmers seeking peak performance.,PR
39,1,432,Private swimming class for High-level course designed for experienced swimmers seeking peak performance.,PR
40,11,1415,Individual swimming class for Course bridging intermediate and advanced skills with structured progression.,IN
40,11,1415,Private swimming class for Course bridging intermediate and advanced skills with structured progression.,PR
40,11,1415,Individual swimming class for Course bridging intermediate and advanced skills with structured progression.,IN
41,43,1525,Private swimming class for Entry-level course introducing fundamental swimming concepts step by step.,PR
41,43,1525,Semi-private swimming class for Entry-level course introducing fundamental swimming concepts step by step.,SP
42,32,4818,Individual swimming class for Course focused on accessibility and individualized support in aquatic environments.,IN
42,32,4818,Private swimming class for Course focused on accessibility and individualized support in aquatic environments.,PR
42,32,4818,Semi-private swimming class for Course focused on accessibility and individualized support in aquatic environments.,SP
42,32,4818,Private swimming class for Course focused on accessibility and individualized support in aquatic environments.,PR
42,32,4818,Group swimming class for Course focused on accessibility and individualized support in aquatic environments.,GR
42,32,4818,Group swimming class for Course focused on accessibility and individualized support in aquatic environments.,GR
42,32,4818,Semi-private swimming class for Course focused on accessibility and individualized support in aquatic environments.,SP
42,32,4818,Group swimming class for Course focused on accessibility and individualized support in aquatic environments.,GR
42,32,4818,Group swimming class for Course focused on accessibility and individualized support in aquatic environments.,GR
42,32,4818,Individual swimming class for Course focused on accessibility and individualized support in aquatic environments.,IN
42,32,4818,Private swimming class for Course focused on accessibility and individualized support in aquatic environments.,PR
42,32,4818,Individual swimming class for Course focused on accessibility and individualized support in aquatic environments.,IN
43,36,4327,Private swimming class for Group course designed for participants with varied experience levels.,PR
43,36,4327,Group swimming class for Group course designed for participants with varied experience levels.,GR
43,36,4327,Individual swimming class for Group course designed for participants with varied experience levels.,IN
43,36,4327,Private swimming class for Group course designed for participants with varied experience levels.,PR
44,13,3267,Private swimming class for Children’s development program focused on technique and confidence.,PR
44,13,3267,Individual swimming class for Children’s development program focused on technique and confidence.,IN
44,13,3267,Semi-private swimming class for Children’s development program focused on technique and confidence.,SP
44,13,3267,Private swimming class for Children’s development program focused on technique and confidence.,PR
44,13,3267,Group swimming class for Children’s development program focused on technique and confidence.,GR
44,13,3267,Private swimming class for Children’s development program focused on technique and confidence.,PR
44,13,3267,Group swimming class for Children’s development program focused on technique and confidence.,GR
44,13,3267,Individual swimming class for Children’s development program focused on technique and confidence.,IN
44,13,3267,Private swimming class for Children’s development program focused on technique and confidence.,PR
45,36,3006,Group swimming class for Course aimed at improving balance and coordination in seniors.,GR
45,36,3006,Group swimming class for Course aimed at improving balance and coordination in seniors.,GR
45,36,3006,Individual swimming class for Course aimed at improving balance and coordination in seniors.,IN
45,36,3006,Private swimming class for Course aimed at improving balance and coordination in seniors.,PR
45,36,3006,Private swimming class for Course aimed at improving balance and coordination in seniors.,PR
45,36,3006,Individual swimming class for Course aimed at improving balance and coordination in seniors.,IN
45,36,3006,Private swimming class for Course aimed at improving balance and coordination in seniors.,PR
45,36,3006,Individual swimming class for Course aimed at improving balance and coordination in seniors.,IN
45,36,3006,Private swimming class for Course aimed at improving balance and coordination in seniors.,PR
45,36,3006,Semi-private swimming class for Course aimed at improving balance and coordination in seniors.,SP
45,36,3006,Private swimming class for Course aimed at improving balance and coordination in seniors.,PR
45,36,3006,Group swimming class for Course aimed at improving balance and coordination in seniors.,GR
46,2,10,Group swimming class for Course focused on refining freestyle technique for triathlon performance.,GR
47,4,2111,Semi-private swimming class for Course combining conditioning exercises and swimming drills.,SP
47,4,2111,Private swimming class for Course combining conditioning exercises and swimming drills.,PR
48,9,917,Group swimming class for Advanced one-on-one coaching focused on performance optimization.,GR
48,9,917,Group swimming class for Advanced one-on-one coaching focused on performance optimization.,GR
48,9,917,Private swimming class for Advanced one-on-one coaching focused on performance optimization.,PR
48,9,917,Individual swimming class for Advanced one-on-one coaching focused on performance optimization.,IN
48,9,917,Private swimming class for Advanced one-on-one coaching focused on performance optimization.,PR
48,9,917,Individual swimming class for Advanced one-on-one coaching focused on performance optimization.,IN
48,9,917,Semi-private swimming class for Advanced one-on-one coaching focused on performance optimization.,SP
48,9,917,Semi-private swimming class for Advanced one-on-one coaching focused on performance optimization.,SP
48,9,917,Group swimming class for Advanced one-on-one coaching focused on performance optimization.,GR
48,9,917,Group swimming class for Advanced one-on-one coaching focused on performance optimization.,GR
48,9,917,Group swimming class for Advanced one-on-one coaching focused on performance optimization.,GR
48,9,917,Individual swimming class for Advanced one-on-one coaching focused on performance optimization.,IN
48,9,917,Group swimming class for Advanced one-on-one coaching focused on performance optimization.,GR
48,9,917,Private swimming class for Advanced one-on-one coaching focused on performance optimization.,PR
48,9,917,Individual swimming class for Advanced one-on-one coaching focused on performance optimization.,IN
48,9,917,Semi-private swimming class for Advanced one-on-one coaching focused on performance optimization.,SP
49,6,207,Individual swimming class for Comprehensive course covering water safety and preventive techniques.,IN
49,6,207,Group swimming class for Comprehensive course covering water safety and preventive techniques.,GR
49,6,207,Private swimming class for Comprehensive course covering water safety and preventive techniques.,PR
49,6,207,Private swimming class for Comprehensive course covering water safety and preventive techniques.,PR
49,6,207,Group swimming class for Comprehensive course covering water safety and preventive techniques.,GR
49,6,207,Private swimming class for Comprehensive course covering water safety and preventive techniques.,PR
50,46,1980,Individual swimming class for Advanced course focusing on navigation and endurance in natural water settings.,IN
50,46,1980,Individual swimming class for Advanced course focusing on navigation and endurance in natural water settings.,IN
50,46,1980,Group swimming class for Advanced course focusing on navigation and endurance in natural water settings.,GR
50,46,1980,Private swimming class for Advanced course focusing on navigation and endurance in natural water settings.,PR
50,46,1980,Semi-private swimming class for Advanced course focusing on navigation and endurance in natural water settings.,SP
50,46,1980,Individual swimming class for Advanced course focusing on navigation and endurance in natural water settings.,IN
50,46,1980,Individual swimming class for Advanced course focusing on navigation and endurance in natural water settings.,IN
50,46,1980,Individual swimming class for Advanced course focusing on navigation and endurance in natural water settings.,IN
50,46,1980,Individual swimming class for Advanced course focusing on navigation and endurance in natural water settings.,IN
50,46,1980,Semi-private swimming class for Advanced course focusing on navigation and endurance in natural water settings.,SP
50,46,1980,Group swimming class for Advanced course focusing on navigation and endurance in natural water settings.,GR
50,46,1980,Individual swimming class for Advanced course focusing on navigation and endurance in natural water settings.,IN
50,46,1980,Private swimming class for Advanced course focusing on navigation and endurance in natural water settings.,PR
50,46,1980,Semi-private swimming class for Advanced course focusing on navigation and endurance in natural water settings.,SP
50,46,1980,Individual swimming class for Advanced course focusing on navigation and endurance in natural water settings.,IN
50,46,1980,Private swimming class for Advanced course focusing on navigation and endurance in natural water settings.,PR
